"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
7,3,4,4,3,3,2,3,2,3,6,7,18,17,9,4,3,5,3,2,4,9,11,12
1,3,2,2,3,1,1,2,0,1,2,1,7,10,7,3,4,4,0,4,2,4,7,8
13,19,10,11,13,9,9,5,6,10,15,13,19,17,21,19,9,13,12,7,15,17,22,11
1,4,0,1,2,0,1,0,0,0,2,3,17,17,14,7,3,3,0,0,2,4,12,18
19,14,4,1,3,1,3,2,3,4,6,13,29,23,16,7,5,5,2,2,5,11,11,15
12,17,5,9,3,3,1,0,3,5,5,14,27,29,18,11,8,6,0,6,5,9,20,18
10,6,3,5,0,1,1,1,0,4,8,8,24,32,17,6,8,4,5,4,2,8,16,24
32,17,13,13,11,7,0,4,5,8,20,21,59,33,38,10,20,11,6,13,17,14,22,37
11,10,6,7,4,5,1,5,1,5,4,11,20,33,21,10,13,3,6,4,6,12,20,30
18,10,9,2,3,0,1,0,1,2,4,14,56,32,26,14,5,2,3,3,2,9,12,31
23,21,17,14,10,7,4,12,10,13,10,13,21,27,17,20,17,12,19,18,19,21,23,28
9,6,4,6,0,8,2,3,1,0,5,9,21,17,14,8,9,8,4,4,5,9,19,13
18,16,9,10,4,5,2,3,4,6,9,14,38,37,25,18,15,13,9,12,18,15,28,37
16,18,7,4,3,1,0,0,0,3,8,17,52,40,29,7,8,3,0,3,1,10,19,31
23,18,11,7,1,4,3,5,9,4,7,12,21,25,26,15,15,8,10,4,16,17,27,27
10,8,4,1,8,8,4,5,3,4,9,12,16,13,16,7,11,8,7,7,9,10,7,27
9,5,4,5,0,0,0,0,0,3,7,20,38,50,23,4,4,2,0,1,4,11,19,27
5,3,2,2,0,0,1,0,1,1,2,2,7,12,8,5,2,1,1,2,2,0,3,4
20,14,6,2,4,0,1,3,1,3,6,14,31,32,15,6,7,1,1,3,4,6,22,27
12,6,2,6,1,0,0,0,2,1,9,5,16,13,12,10,6,8,3,2,3,7,8,17
3,0,0,1,1,0,0,0,2,1,0,1,3,3,2,2,6,1,2,1,0,2,1,6
18,11,6,1,0,0,0,0,2,3,6,8,42,29,22,12,4,4,3,2,7,6,11,32
3,3,3,0,0,0,0,0,0,1,0,6,10,12,11,2,1,0,0,2,2,0,5,12
1,0,2,3,0,3,1,0,0,1,0,1,5,9,1,5,6,1,4,0,1,7,3,0
38,24,12,7,2,1,1,1,0,3,7,31,56,56,31,28,10,5,3,3,8,6,32,63
25,22,8,10,1,1,2,0,8,9,14,20,58,51,32,17,11,4,9,10,6,11,18,45
7,10,1,3,1,2,2,1,1,1,5,11,19,16,18,12,3,4,3,2,6,12,16,16
5,3,3,1,2,2,0,0,1,1,4,2,6,16,2,5,1,2,1,3,4,3,3,12
10,9,4,0,1,0,0,0,1,2,2,7,35,28,12,5,10,2,2,0,3,7,7,22
17,13,5,9,9,5,5,5,7,7,10,15,17,17,10,10,11,11,15,12,10,10,17,23
6,3,1,3,0,2,1,4,1,4,6,7,13,6,7,5,7,3,6,5,3,6,12,4
13,9,7,3,1,2,1,3,0,3,3,20,40,23,20,15,7,3,2,3,5,14,10,21
5,3,8,2,0,0,0,1,2,1,8,7,16,9,9,5,2,4,3,3,1,4,12,15
12,11,7,5,1,1,0,1,0,3,5,13,61,44,28,5,3,2,3,1,4,6,7,33
11,3,7,7,2,1,1,0,1,2,8,9,26,11,17,16,4,6,9,6,6,10,10,17
14,2,5,2,0,0,0,1,1,0,3,11,64,55,25,11,7,2,3,0,1,3,14,33
3,2,1,0,0,1,0,0,0,1,2,2,19,20,13,4,4,5,3,1,1,2,8,10
11,9,7,7,5,7,4,4,4,3,8,11,15,24,16,16,13,6,7,7,13,12,15,16
1,0,1,0,0,1,0,0,1,0,1,0,12,7,5,5,7,4,2,0,4,2,9,6
34,14,18,7,11,6,1,2,9,1,13,19,40,43,39,20,13,18,4,9,14,11,18,29
3,2,0,0,0,1,0,0,0,0,3,5,15,7,3,6,2,5,2,2,3,6,6,11
25,10,4,5,1,2,1,2,2,2,11,16,39,32,13,15,11,4,6,4,7,11,32,51
6,6,1,0,1,1,0,1,0,1,4,1,15,13,11,4,2,3,1,2,2,1,7,12
7,4,4,3,4,0,3,2,0,3,1,4,17,5,5,7,6,8,3,3,4,5,10,7
6,4,4,3,3,1,11,0,6,3,4,6,10,12,13,10,11,5,10,7,8,11,7,10
8,4,6,3,3,4,2,0,1,2,2,13,17,15,13,12,11,12,4,10,5,10,17,9
9,8,5,11,1,1,2,2,3,1,6,10,9,17,16,9,8,5,6,6,4,9,19,14
10,7,3,1,0,1,0,2,0,0,0,2,46,17,9,2,1,0,0,0,0,4,11,19
3,5,4,4,2,0,4,0,1,1,2,3,11,11,8,3,4,4,1,2,1,1,7,10
3,4,1,0,0,1,0,1,0,2,3,4,29,18,12,6,4,0,1,1,1,7,9,14
15,15,11,3,3,3,0,4,1,2,5,10,23,29,18,8,3,4,4,6,8,12,17,29
